"","log2FoldChange","padj"
"TFPI2.DT",-1.33253957899105,1.88724874869261e-10
"FABP5P7",1.52854843670864,5.77191310967767e-08
"ZNF747.DT",-1.16191235671602,3.22262445111777e-08
"ENSG00000235726",-1.62223247648811,1.40170345193896e-13
"OLMALINC",-1.31155920339054,2.08025051016199e-17
"TSPEAR.AS1",1.26052388093038,1.17811433849103e-14
"CCDST",1.5703701506843,3.49074054154462e-66
"GAPDHP21",-1.59951099875288,1.62657195088726e-09
"NFYAP1",-1.09983576132552,2.12594033433761e-07
"LINC00649",-2.10539694673236,2.37708846264011e-49
"AMY2B",2.38343557257332,8.17484825298497e-29
"SCARF2",-1.51723764316557,1.19795395674763e-214
"LINC02709",-1.081180940355,1.08266676711243e-09
"DYNC1LI2.DT",-1.04374994059772,1.72918010738646e-10
"SOCS2.AS1",-1.17502579518095,4.40331371182649e-08
"USP51",-1.49705407036198,5.09342327098315e-25
"PCP4L1",1.86738313575759,8.79556187863785e-18
"ENSG00000248837",4.37013381699502,1.4969912278428e-24
"LINC01411",1.26026090462462,7.43258250502813e-11
"CASC9",-1.91536433893299,6.85979872223941e-72
"LINC01234",1.93665132130025,3.61246150221305e-30
"HOXC.AS2",-1.04938564582137,4.36215047700519e-16
"PURPL",-1.53256823257245,2.0532867814996e-48
"YPEL3.DT",-1.16649096807042,5.46269159358782e-25
"SELENOP",1.16098924930778,1.42467247258158e-31
"ENSG00000250874",-2.64767114722586,1.83132101837828e-28
"LMNB1.DT",-1.04742990635879,4.45860474628726e-06
"LINC02506",-4.74668137913677,7.52634416435234e-221
"LNCOC1",-1.30282117014437,4.79394474359323e-16
"PCDHGB2",1.16624762914176,1.31990425690098e-05
"ENSG00000254165",1.0504460195157,2.71602791747846e-06
"BBOX1.AS1",-1.07004504989287,8.58618968737254e-18
"ENSG00000254936",1.13145181764525,1.72120288011853e-06
"ENSG00000255240",-1.43174964132061,1.13994559546422e-15
"LINC02761",-1.04774053798803,0.000430287985599527
"ZNF486",1.87259853252687,1.81750774406326e-123
"ENSG00000256967",1.28977300237274,3.88117212137355e-06
"LINC01619",1.12138699869434,8.62929981719968e-08
"ZNF578",7.29870253678255,2.02915425763705e-32
"TGFBR3L",1.26923093293485,5.83594954015132e-18
"C16orf95",-1.16700689649828,1.26733150370875e-11
"ENSG00000260725",1.58446271017568,3.27878405644955e-21
"SMIM47",1.27761423437618,5.47935304492467e-07
"MAFTRR",-1.08296468586082,1.57134285027373e-05
"ENSG00000261659",-1.19428670724047,4.37805677065003e-13
"TCF24",1.91701457178844,2.67828066069712e-45
"PCDHGA4",1.53900784743176,1.651055892435e-09
"LINC01915",1.40735224600012,5.8221819098102e-13
"ENSG00000266680",-1.07512728064684,2.79695960471955e-16
"ENSG00000266976",-1.38269277152079,3.65966521165391e-19
"CIRBP.AS1",-2.4348760946415,0
"ENSG00000267980",1.16415234309619,7.538278775153e-07
"GABRQ",1.27770856358377,8.8436322759179e-09
"LINC02965",-1.01136964853885,6.06727967311134e-05
"ENSG00000269194",1.06087982398535,0.000123391515791589
"ENSG00000269318",1.05419708009159,0.000184784599954056
"ATP6V0D1.DT",-1.02405307778885,9.37575634717901e-14
"MIR222HG",2.09512613041334,1.20969459538061e-77
"ENSG00000270659",-1.00049542032822,1.04178592292394e-05
"ENSG00000272008",-1.08435029744864,2.96048221688019e-07
"BCAN.AS1",-1.08129959329387,1.57934213622604e-08
"ENSG00000272425",-1.23931100995579,2.36917257656294e-06
"SFTPD.AS1",1.33667239087635,1.15626024364278e-06
"ENSG00000274220",-1.14990512687825,7.14082789162542e-10
"ENSG00000274667",1.28465731430688,4.50500143039516e-06
"ENSG00000275468",1.16826515558827,3.02819829757732e-15
"ENSG00000276337",-1.17498325049553,3.74122238331416e-11
"ENSG00000276408",-1.12230472356048,6.51785767468006e-08
"ENSG00000277879",1.4413713675313,1.4730618035648e-31
"ENSG00000277954",1.30587442768785,3.02363721722591e-08
"ENSG00000278058",1.88194252986427,1.14533845010134e-29
"ZNF426.DT",1.56264222991431,1.52218690599209e-12
"ENSG00000279653",1.27868783303159,1.21277591869242e-06
"ENSG00000280067",-1.01509285564384,1.97365494734154e-12
"ENSG00000280294",1.48031800863849,1.38058005924827e-09
"ENSG00000280304",-1.08801748392656,0.000421374042846097
"ENSG00000280486",1.10300137593343,1.61777445970456e-15
"ENSG00000283674",1.02139812785807,1.60763379570276e-48
"TAF11L11",-1.38686926972024,2.41034874852026e-11
"ENSG00000286339",-2.18563167208455,3.60742452319129e-27
"ENSG00000286507",1.07219489854903,1.36461980382012e-08
"ENSG00000286878",7.13132889205472,9.42485205066007e-31
"ENSG00000287022",1.26327933832808,1.25798352501642e-05
"ENSG00000287055",-1.2619536737918,4.20045353120855e-07
"LINC02993",1.04050580651109,4.38317920991832e-05
"RENO1",-1.03708392546304,5.32491119984574e-14
"ENSG00000287692",2.15606930936094,7.43301914270233e-15
"ENSG00000288758",1.03569948143691,5.57113392093761e-06
"ENSG00000288886",-1.24685225986552,2.66730454400729e-12
"ENSG00000288966",1.00577061813729,7.63089582425094e-08
"ENSG00000289628",1.35533110562385,1.37338004290247e-07
"ENSG00000289688",1.46179114426862,1.53612852532766e-11
"ZNF876P",1.34481244000381,2.99859256655022e-07
"ENSG00000290829",1.11519812343418,4.1304643311828e-15
"LRRC37A11P",-1.34592431366774,3.55631718587918e-12
"ENSG00000290960",1.01386805904498,0.00306851512973061
"ENSG00000291065",-4.67704143860747,2.65095820840765e-175
"ENSG00000291101",1.17834710381732,4.0223250745793e-11
"SMG1P7",-1.14632828283182,5.38216871397038e-34
"ENSG00000293164",-1.98796485331938,6.3201649315219e-97
"ENSG00000293279",-1.44428856851273,1.52136100303323e-14
"RPLP0P2",1.16817961456561,2.27745623442108e-18
"ENSG00000293389",1.35762886854615,1.94305099293155e-13
"GUCY1B2",-5.35852041760064,2.27413274985608e-32
"CENPBD1P",-1.01078550657182,5.62296503343771e-45
"FBXL9P",-1.00861551265129,7.76921022348596e-06
"ENSG00000293676",-2.39265358743704,1.30677129287427e-65
"ENSG00000294063",-1.0796800080503,5.59569322954609e-08
"ENSG00000294538",-1.23295687010028,3.26591679624919e-05
"ENSG00000295250",-1.16222742748643,1.30177558467819e-10
"ENSG00000296655",-1.37870878105935,8.14433197876961e-09
"ENSG00000297413",-1.30973519382598,3.08909341144315e-18
"ENSG00000298058",-3.67093595968242,5.47322880582687e-50
"ENSG00000298543",1.16818139086869,7.31631709448534e-05
"ENSG00000298681",1.10748396112471,1.59434653959505e-05
"ENSG00000298793",-2.37309760827287,1.07733012987028e-36
"ENSG00000299052",-1.5832703239328,2.3219120795491e-09
"ENSG00000299188",-6.98927930335493,3.62162559688496e-30
"ENSG00000299322",1.18652301576978,4.0223250745793e-11
"ENSG00000299888",1.37836267262118,9.93658176541252e-08
"ENSG00000300051",-1.09176237446953,6.87514915812078e-08
"ENSG00000300153",-1.1826669563538,1.80698865410848e-64
"ENSG00000300154",1.26682544331003,2.46218026095983e-06
"ENSG00000300491",1.28170142388141,1.16911170277993e-07
"ENSG00000302873",1.29801815013534,9.28176290645843e-10
"ENSG00000303522",1.06544955609615,8.69164506706855e-05
"ENSG00000306949",-3.54736249110498,7.34840420782195e-20
"ENSG00000308809",1.34025198295172,8.96199413162676e-13
"ENSG00000308905",-1.04137073304027,3.54401229593983e-12
"ENSG00000310059",1.11665675056069,2.65916440759017e-07
"ENSG00000310366",-1.19752317407973,3.96118642624583e-05
