"","ID","log2FoldChange","AveExpr","t","P.Value","padj","B"
"PROZ","PROZ",1.23335053803879,-0.15753819052179,2.95877577985958,0.00465565724353709,0.772610857454487,-2.99246631006893
"ASB8","ASB8",0.201714054621661,5.29812052600241,2.67931961700232,0.00987845551395243,0.854057983607857,-2.99574194447042
"ENSG00000259959","ENSG00000259959",-0.330895462113777,3.24280681760728,-2.52388865792509,0.014728613480377,0.887642930308173,-2.99881919177464
"ENSG00000249456","ENSG00000249456",-1.12642514439974,0.315164726166367,-2.8329618423563,0.00656681499798489,0.772610857454487,-3.00990007958702
"ENSG00000291283","ENSG00000291283",-0.836583000952961,0.698080151952243,-2.68469515515294,0.00974050407696553,0.854057983607857,-3.01538954862544
"DDAH2","DDAH2",-0.381641314180186,2.90012390650954,-2.50135728891172,0.0155883036326723,0.887642930308173,-3.01555318640464
"PUSL1","PUSL1",-0.182191708168477,6.02310219238424,-2.72999678280584,0.00864626642893874,0.825496364188314,-3.01586898647921
"HCP5","HCP5",0.500995161423201,1.96032313095053,2.49255398475903,0.0159363630697465,0.887642930308173,-3.03745418502758
"PAQR7","PAQR7",0.779852919324121,0.814451726208668,2.61676332959071,0.0116208449610756,0.862583475806166,-3.04035953314799
"RPL15P2","RPL15P2",1.48689497036169,-0.498268796564843,3.1776098983414,0.00251013210825934,0.729791947413616,-3.04165124254124
"OTP","OTP",-1.91901825637176,-1.0649218210426,-3.44553323667115,0.0011417129669608,0.626620155523264,-3.04402571110834
"RGS10","RGS10",-0.224140201579835,4.58266486655461,-2.60712030799323,0.0119131276952804,0.862583475806166,-3.04809268978406
"FZD8","FZD8",-0.201977010420936,5.2089518499984,-2.64989367380311,0.0106658584550995,0.854057983607857,-3.0518353647788
"ENSG00000303234","ENSG00000303234",-1.0426575111132,-0.0663817396769848,-2.80481180563632,0.00708385925754205,0.773819492768958,-3.05203610229409
"TMCO1-AS1","TMCO1-AS1",0.860198466496094,0.674724091532799,2.64919080166357,0.0106853501777935,0.854057983607857,-3.05686419781945
"ZBTB12","ZBTB12",-0.214671274266521,4.8290133605228,-2.62816532580641,0.011283703452235,0.854057983607857,-3.05813629477942
"SLC26A1","SLC26A1",-0.660852300930189,1.49923668840156,-2.5166819240207,0.0149987936116798,0.887642930308173,-3.05961374972218
"USPL1","USPL1",0.206159628034986,5.09616219943009,2.63561584470187,0.0110682554743592,0.854057983607857,-3.06562074279323
"TCEAL3","TCEAL3",-0.314569674710203,3.57036419050812,-2.51336871796929,0.0151245067852627,0.887642930308173,-3.06579462768712
"ENSG00000271254","ENSG00000271254",-0.195162380481339,5.37251002045599,-2.65512521112524,0.0105217992431711,0.854057983607857,-3.07676240617347
"REX1BD","REX1BD",-0.274168465359097,4.20870627916832,-2.55563834761298,0.0135901298836286,0.887642930308173,-3.0781005287698
"SCUBE3-AS1","SCUBE3-AS1",0.728655114920511,0.877764710048806,2.57429013348785,0.0129592124192224,0.887642930308173,-3.08099639942412
"ERCC6L2-AS1","ERCC6L2-AS1",0.465608241050322,1.99937456706361,2.45589183707674,0.0174627455785035,0.887642930308173,-3.09668164240033
"ATL2","ATL2",0.141772420445204,6.57857529297712,2.74171489650732,0.00838224351518406,0.816534216236847,-3.09769351224529
"XRRA1","XRRA1",-0.613341695728912,1.70038338192037,-2.46880571373989,0.0169106517279338,0.887642930308173,-3.10083410004002
"IRS2","IRS2",-0.197108385852387,5.37939910772938,-2.63723198060437,0.0110220206045634,0.854057983607857,-3.10316899536536
"LINC01977","LINC01977",0.649713585327046,1.11531409960553,2.51379994578221,0.0151080907984801,0.887642930308173,-3.11767886344166
"ENSG00000233739","ENSG00000233739",1.69326826218537,-1.07295236181094,3.33883095218253,0.0015686986859725,0.689424831802518,-3.12159029254005
"CLK1","CLK1",0.199737383533836,5.47776775449339,2.63223984633065,0.0111654095522356,0.854057983607857,-3.13678102973006
"STARD4-AS1","STARD4-AS1",-0.608837629211987,1.52842723107019,-2.46143745709087,0.0172236965061206,0.887642930308173,-3.1367979448299
"PACSIN1","PACSIN1",0.486892877520291,1.93033972249917,2.43416547830279,0.0184283815503062,0.887642930308173,-3.13903474623538
"ENSG00000272941","ENSG00000272941",1.12768257360697,-0.242629544235834,2.90485837789279,0.00540061377459749,0.772610857454487,-3.14137746530155
"NAA35","NAA35",0.152298030507164,6.41144862689567,2.70987764813272,0.00911747979913639,0.844618300216076,-3.14146992020743
"CC2D1B","CC2D1B",-0.169283736174163,5.68037308854382,-2.65064256070081,0.0106451264805907,0.854057983607857,-3.14214740484295
